loss,mean_absolute_error,val_loss,val_mean_absolute_error
0.6573318839073181,0.6429844498634338,0.07015109807252884,0.22341251373291016
0.3461979627609253,0.4675554931163788,0.07888446003198624,0.22371239960193634
0.2887451946735382,0.4318958818912506,0.033807020634412766,0.15484242141246796
0.2619275152683258,0.410125195980072,0.024310410022735596,0.12706704437732697
0.22654922306537628,0.3772072196006775,0.022465432062745094,0.12810933589935303
0.2080577313899994,0.35649582743644714,0.02129943110048771,0.129252091050148
0.16312415897846222,0.32329654693603516,0.014011263847351074,0.09261272847652435
0.14694711565971375,0.3063961863517761,0.017728067934513092,0.10444366931915283
0.13971537351608276,0.2952163815498352,0.011422781273722649,0.08680813014507294
0.10125108063220978,0.25239336490631104,0.01600741408765316,0.10208368301391602
0.10334713757038116,0.25128844380378723,0.01358912605792284,0.09745711833238602
0.08824706077575684,0.2331390678882599,0.015397045761346817,0.10592301934957504
0.08378090709447861,0.2261056900024414,0.020926613360643387,0.1239905059337616
0.06796198338270187,0.20810920000076294,0.01904919743537903,0.12523038685321808
0.07065193355083466,0.20837245881557465,0.011489961296319962,0.08186052739620209
0.06208169460296631,0.19907039403915405,0.02062467858195305,0.12656664848327637
0.0542425736784935,0.18512336909770966,0.008672536350786686,0.0777982622385025
0.04915595054626465,0.17706450819969177,0.013144207186996937,0.09974823892116547
0.04852738603949547,0.17801064252853394,0.011520511470735073,0.08603332936763763
0.04279939457774162,0.1648031771183014,0.017101669684052467,0.11469598114490509
0.041715703904628754,0.16166628897190094,0.011681763455271721,0.08652599900960922
0.034920673817396164,0.14821647107601166,0.00992170162498951,0.07377258688211441
0.03135017678141594,0.1388908177614212,0.02157771959900856,0.12590521574020386
0.028808366507291794,0.1357724517583847,0.01095330249518156,0.08769173175096512
0.02728642150759697,0.130095437169075,0.012340622954070568,0.09265018254518509
0.025762194767594337,0.12613147497177124,0.016620241105556488,0.112241730093956
0.024175215512514114,0.12197837978601456,0.01242988370358944,0.09249385446310043
